stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0
72hpf,9.3,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,1.13,1.13,0,1.13,0.28,0,1.13,27.06,1.97,1.41,0,0,0,0.56,0,0,0,0,0
21Day,7.77,0,0.37,3.33,0.74,0,0.37,0,0,0,0,0.37,0,0.37,2.59,0,0.74,0.37,4.07,0,2.96,0,24.05,1.85,1.85,1.48,0.37,0,1.11,0.37,0.74,0,0,0
3Month,0.42,0.1,0.21,1.14,0,0.1,0,0.42,0.1,0,0,3.02,0.42,0,6.35,0.1,0.31,0.31,0.31,0,0.31,1.46,0.42,0,1.35,0.1,0.1,0.83,0,0,0,0,0.42,0.31
22Month,0.14,0.27,0.14,0.68,0,0,0.14,0.55,0.68,0.96,0,22.14,0.27,0.68,6.15,0,0.14,0.68,1.37,0.82,0.27,0,0,0,0.68,0,0.14,0.14,0.14,0.14,0,0.14,0,0.14
