stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Neural_cell,Primordial_germ_cell
72hpf,0.28,0,0,1.69,0
21Day,0,0.37,0,1.48,0
3Month,0,0,0.31,0,0
22Month,0,0,1.09,0,0.14
