stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0
3Month,0,0.42,0,0.52,0.1,0.31,0.1,0.1,0.52,0,0,0,0.21,0.1
22Month,0.14,0.27,1.23,8.34,0,1.09,0,0.27,0.27,0.27,0.14,0.14,0,0
