stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,2,22,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,1.13,0,0,0,0,0,6.2,1.41,0,0,0.56,0,0,0,0,0,0
21Day,0,0,0,1.11,0.74,0,0,0,0,0,0,0.74,0,0,0.37,0.37,1.11,0,0,0,2.22,1.48,0,0,0,0.37,0.37,0,0,0,0.37
3Month,0,0.1,0.21,4.89,0,0,0.21,1.25,0.73,3.64,0.73,0,1.35,0.31,0.94,1.46,1.66,0.42,0,0.42,0.31,0,0.31,0.21,0.31,0.21,1.98,0,0.31,1.14,0.73
22Month,0.14,0,0,0.82,0,0.14,0,0.14,0.96,2.05,0.14,0,0.68,0,0.27,0.14,0.82,0,0.14,0.27,0,0,0.27,0,0,0,0.82,0.14,0,0,0
