stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0
72hpf,7.89,0,5.64,0,0.56,0,0,0,0,0,0,0,0.56,11.56,0,5.07,0,0.85,0.28,42.84,1.69,0.28,4.79,0,0,0.56,0,0,1.69,0
21Day,12.58,0,5.18,1.11,1.85,0,0,0,0,0,0.37,0.74,0,14.43,0.74,49.95,0,5.18,0,33.3,1.85,0,8.14,2.22,0,1.11,0.37,0.74,1.85,0.74
3Month,0.52,0.1,1.46,0,0,0.1,0.1,0,0.62,0.1,0,0.1,0.1,4.68,0,1.77,0.21,0,0.21,0,0.1,0.1,0.1,0,0.31,0.1,0,0,0.1,0
22Month,0.55,0,0.41,0,0,0,0,0.27,1.5,0,0.14,0.14,0,0.55,0.27,0.68,0,0,0,0,0,0,0,0,0.14,0.14,0,0,0,0
