stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.56,0,0.28,0,0,0.28,1.69,0,0,0.56,0,0,0,0,0,0,0,0
21Day,0.74,0.37,0,2.22,1.11,0,1.11,0,0,0,0.37,0,1.11,0,0.74,0.37,0.37,2.96,0,0,0,0,0.37,2.59,0.37,0,0.74,0.37,0,0.37,0,0.37,0,0,0
3Month,0.21,0.31,0.21,7.39,0,1.25,0.83,2.7,0.83,0,6.03,0.52,0.21,6.24,0.42,2.18,0.83,1.98,0.1,0,0.94,0.42,0.21,0,0.83,0,0,0.42,6.03,0.21,0.1,0,0.62,1.77,1.46
22Month,0.14,0.68,0.14,3.28,0,2.19,0.41,0.41,1.37,0.27,15.85,0.68,0.41,2.46,0,0.41,1.78,2.19,0,0.82,0.55,0,0.14,0,0.68,0.27,0.14,0,1.09,0,0,0,0.14,0,0.27
