stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0.37,0,0,0,0,0,0,3.33,0,0.37,0,1.85,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,2.22
3Month,0.52,3.64,8.32,0.21,19.87,0.94,0,2.29,0.73,0,34.33,4.47,0.94,2.6,1.66,0.1,1.56,5.41,0.21,0,0.1,0.1,0,0.21,0.73,2.08,0.62,3.02
22Month,0.41,2.87,5.6,0.55,7.65,0.41,0.14,5.74,0.55,0,35.67,0.96,0.27,1.09,0.41,0,0.27,0.27,0,0,0.27,0,0.14,0,0.27,0.27,0,1.37
