stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,3.66,0,0,0,0.56,0,0,1.13,0,0,0
21Day,0.74,0,0,0.74,0.37,2.59,0,1.48,0,0,0,0,0,0,0,0.74,0,0.74,0,0,0,17.39,4.07,0.74,0,0,0.37,0.74,0,0.74,0,0,0.37
3Month,0,0.52,0.42,5.93,0.1,0,0.52,0.31,1.14,2.08,0,3.54,2.91,1.77,1.04,2.08,1.66,1.35,0.62,0,0.52,198.05,0.1,0.1,0.21,0.1,0,0.83,2.29,0,0,1.56,1.98
22Month,0,0,0.82,12.16,0,0,0.14,0.27,0.27,1.09,2.19,5.47,0.41,3.28,0.27,0.14,0.41,0.96,0,0.27,0.14,11.75,0,0.14,0,0.14,0,0,0.82,0.14,0.14,0,0
