stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Osteoblast,Radial_glia,T_cell
24hpf,0,2,0,0,0,0,1,0,0,0,0,0
72hpf,0.28,3.38,0,0,0.28,0.85,0.56,6.2,0,1.97,0.85,0
21Day,0,2.22,0.37,0,0,0.37,2.96,2.96,0.37,1.85,0,0.74
3Month,0,0.21,0,0.1,0,0.21,0,0,0,0,0,0
22Month,0,0,0,0.27,0,0,0,0,0,0,0,0
