stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0,1.13,0,0,0,2.54,0,0,0,0.28,0,0,0,0
21Day,0.37,0,0.74,0.74,0,0.37,0,0,0,0,0,0.37,0,0.37,0.37,0.74,0,0.37,0.37,0.74,0.37,0,0,0,0,0,0,0.37
3Month,0,0.1,1.56,2.91,0.21,0,2.81,0.21,5.41,0.21,0,35.99,0.1,0.42,0.62,2.81,0.94,1.25,1.87,0.1,0.1,0.42,0.1,0,0.21,1.25,0.1,0.31
22Month,0.14,0.14,0.82,1.23,0,0,4.37,0.41,1.64,0,0.27,19.27,0.27,0.14,0.96,1.91,0.14,0.14,0.14,0,0,0.27,0,0.14,0.27,0.96,0,0.96
