stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.54,0,20.29,0,0.28,0,0,0,0,0,0,0,0.28,0.56,0,3.38,0,0,0.28,0,5.07,0,0.28,0,0,8.46,0,0,0,0.28,0,0,0
21Day,0.74,0.74,0.74,3.7,0,0.37,0,0,0,0,0,0,0,0,0.74,0,11.84,0,0,1.85,0,4.44,0.37,0,0,0,10.36,0.37,0,0,0,0.37,0.74,0
3Month,0,5.51,0,3.12,0,0,0,0.21,0.42,0.83,0.31,0.1,0,0,1.25,0.52,11.65,1.87,0,0.73,0.21,0.1,0.21,0.31,0.21,0,7.8,0.1,0.52,0.1,0,0,16.43,0.31
22Month,0,3.42,0.14,1.09,0.14,0,0.14,0.27,0.14,1.5,0.14,0.14,0.14,0.14,0,0.41,6.7,0.14,0.14,0.55,0,0,0,0,0,0.27,1.09,0,0.82,0,0,0,0.27,0
