stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,2,0,0,0,0,0,0,3,2,0,0,3,8,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0.56,0,0,1.97,1.13,0,0,0.85,0,0,0,0.56,0,0,0
21Day,0.74,0,2.59,0,0,0,0,0,0,0,0,0,0,0.37,0.74,4.07,0.37,0,1.48,1.11,0,0,0.74,0,0,0.37,0,0,0,0.37
3Month,0.31,0.1,2.18,0.1,0.83,0.83,0,0,0.42,0.94,0,1.35,0,0.42,0.42,0.31,0.1,0.21,0.21,0.1,0.21,0,0,0.21,1.66,0,0,0.42,0.21,0.31
22Month,0,0.14,0.14,0,0.27,0.14,0.14,0,1.37,0.14,0.14,0.41,0.14,0,0.82,0.41,0,0,0,0,0.14,0.14,0.14,0,0.41,0,0,0.14,0,0
