stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,1,13,3,0,0,0,0,0,0,0,0,0,2,1,0,17,0,0,1,1,5,191,1,0,6,0,0,0,0,0,0,0,0
72hpf,3.1,0.56,2.82,1.97,23.39,0,0,0,0,0,0,0,0,1.41,5.36,0.28,11.56,0,0,0,0,19.73,29.03,0.28,0,10.71,0,0,4.51,0,0,0.85,0,0
21Day,0.74,0,5.18,0.37,5.55,0,0.37,0,0,0,0,0.37,0.37,0,1.11,0,7.03,0,0,0.37,0,4.44,8.51,0,0,2.22,1.48,2.22,0.74,0.37,0.37,0.37,0,0
3Month,0.21,0,4.99,0.21,0,0.1,0,0,0.31,1.56,0.62,0.1,0.62,1.87,1.77,0.21,0.94,0.1,0,0.21,0.31,1.14,0.1,0,0,0,0.31,28.92,0.21,0,0,0.21,10.3,0.52
22Month,0.14,0,2.19,0.14,0,0,0,0.14,0.14,3.28,0.14,0,0,0,0.68,0.41,0.96,0,0.14,0,0.14,0.27,0,0,1.5,0,0,11.62,0.14,0,0,0,0,0
