stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,2,0,0,0,2,4,1,12,0,1,0,1
72hpf,0.28,0.28,0,0,0.56,0,0.56,2.82,2.25,0,0.85,0.28,0.28
21Day,0,0.74,0.37,0.37,0,0.37,0.74,2.22,0,0.37,0.74,0,0
22Month,0,0.14,0,0,0,0,0.27,0,0,0,0,0,0
