stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,11,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,5.07,0,0,0,0,0,0.85,0,0,13.81,0.56,0,0,0,0,0,0.85,0.85,0,0,0.56,0,0,0.56,0,0,0,0,0
21Day,0.37,0.37,0,18.87,0,0.74,0,0.37,1.11,1.48,0,0.74,14.43,2.59,0.37,0,0,0,0,0.74,0.74,0,0,0,0.37,0,0,0.37,0.37,0,0,1.85
3Month,0,0.21,0.42,7.59,1.14,3.12,0,4.47,8.74,0,5.41,0.21,1.77,3.12,0.21,0.21,0,0.1,0.42,0,0,0.31,0.1,0,0.52,1.25,0,0,0,0.21,0.21,1.46
22Month,0,0.27,0.82,4.1,1.5,4.78,0.82,8.2,3.55,0.55,10.93,0.41,1.09,1.09,0.55,0,0.41,0,0,0,0,0.41,0.27,0,0,0,0.14,0,0,0,0,0.41
