stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,6,36,0,0,0,0,0,0,0,0
72hpf,3.38,0.28,0,1.97,0.56,2.25,0,0,0.28,0,0,0,0,0.28,4.23,1.41,4.23,0.56,0.56,364.15,12.12,0.56,0.28,5.07,0,0,2.54,0.85,0
21Day,0.74,0,0,3.33,0,1.48,0,0,0,0.37,0,0.37,0.37,0,1.11,0.74,2.22,0,0,53.28,1.48,0,0.37,1.11,0,0,0.74,0,0
3Month,0,0.21,0.1,0.21,0,0,0,0.1,0,0.94,8.74,0,0.42,1.56,0.31,0.31,0.21,0,0,0.1,0,0,0,0,0.1,0.1,0,0,0.42
22Month,0,0.14,0,0.27,0,0,0,0.14,0,0.82,3.42,0,0.27,0.14,0,0,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0.41
