stage,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Pancreatic_cell,Spermatocyte,T_cell
21Day,0,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0
3Month,0,0,0,0.21,0,0.1,0,0,0,0.21,0,0.1,0.1
22Month,0.14,0,0.14,1.37,0.14,0,0.27,0.14,0.14,0,0,0,0
