stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Pancreatic_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,1.13,0,0,0,0,0,0
21Day,1.48,0,0,0,0,0,1.11,0.37,0,0,0,0,0
3Month,2.39,0.1,0.21,0.62,0.1,0.1,0.21,0.1,0.1,0.1,0.1,0.1,0.1
22Month,0,0,0,0.41,0,0,0,0,0,0,0,0,0
