stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0,0,0.28,0,0
21Day,0,0,0,0,0,0,0,0,0.74,0,0,0,1.11,0,0,0,0.37,0.37,0,0,0,0,1.48,0,0
3Month,0,0.1,0,0,0,0,0.31,0,0,0.21,0,0,0,0,0.1,0.1,0,0,0,0,0,0,1.04,0,0
22Month,0.41,1.23,0.27,1.09,0.82,0,9.29,0.41,0,0.14,0.27,0.41,1.5,0.41,0.41,0,0.14,0,0.27,0.14,26.24,0.14,4.92,0.14,0.55
