stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,35,0,0,0,0,0,0,0,0,0
72hpf,2.54,0.28,0.85,0.28,0,0,0,0,0,0,0,0.56,0.28,3.38,0,0,77.79,20.29,0.28,0.28,4.23,0,0,2.54,0.85,0.28,0
21Day,2.59,0,1.11,0.37,0.37,0,0,0,0,0,0.37,0.37,0,6.29,0,1.11,39.96,10.36,0.37,0.37,1.48,1.48,0.37,0.37,0,1.11,0.74
22Month,0,0.55,1.37,0,0,0.14,0.14,0.14,0.14,2.05,0.14,0.27,0,1.23,0.27,0,0,0,0.27,0,0.14,0,0,0.14,0,0,0
