stage,Epithelial_cell,Goblet_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,1,0,0,3,1,0,0,0,0
72hpf,0,0,0,0,0.28,0,0.28,0.85,4.51,0,0,0,0
21Day,0,0,0.37,0.74,0.74,0,0.74,0,15.91,0.37,0,0.37,0
3Month,0,0,0.52,0.1,0,0.1,0,0,0.62,0,0.1,0,0.52
22Month,0.14,0.14,1.23,0,0.14,0,0,0,0,0,0,0,0
