stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0.85,0.28,0,0,0,0,0
21Day,0.37,0,0,1.11,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0,0,4.81,0.74,0,0,0.37,0.37,0,0
3Month,0,0.21,0.1,0.62,0,0,0,0,0.62,0.21,0.1,0.42,0.21,0.21,0.42,0.42,0,0.1,0.1,0,0,3.54,0,0,0.21,0.1
22Month,0,0.14,0.27,0.55,0,0.27,0.14,0.27,7.38,0,0,0.41,0,0.14,0.41,0.27,0.14,0.14,2.6,0,0,0.82,0,0,0,0
