stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,1.13,0,0,0,0,1.69,1.41,0,0,1.13,0,0,0,0,0,0,0
21Day,0.74,0,0,3.33,0,0,0,0,0,0,0,0,0,0.37,2.22,0,7.4,0,0,0,0,1.85,0,0,0.37,3.33,0,0,0,0,0,0,0
3Month,0.1,0.73,0.1,16.54,0.21,0,4.47,0.31,0,10.92,0.62,0,21.22,1.04,4.37,0.42,2.5,0.42,0,1.14,0.42,0.31,0,0.42,0,0,0.1,1.25,0.1,0,0,0.21,1.25
22Month,0.27,5.47,0.27,10.93,0.27,0.14,3.55,2.05,1.5,48.51,2.32,1.09,24.32,0.82,2.32,2.32,10.52,0.14,0.68,1.64,0,0,0,2.32,0.14,0,0.14,4.92,0.14,0.14,0.82,0,2.19
