stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0
72hpf,20.29,4.79,0,406.14,5.64,37.2,0,0.28,0,0,0,0.28,0,1.41,0.56,7.61,104,4.79,51.01,2.54,1.69,1.97,282.13,138.67,0.56,2.25,67.08,1.13,0,20.01,1.69,1.97,2.54,0,0.28
21Day,13.32,3.33,2.22,296.73,1.85,32.93,0,6.29,1.48,4.07,0.37,9.62,1.11,15.54,4.81,3.33,42.18,9.25,70.3,0.37,9.62,0,64.38,35.15,1.85,1.85,32.93,21.09,1.11,7.03,2.22,8.51,2.22,0,6.66
3Month,0,0.1,0,0.42,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,1.25,0.1
22Month,0,0,0,0.27,0,0,0.14,0,0,1.09,0,0.82,0.14,0,0,0,0,0,0.14,0,0,0,0,0,0.14,0,0,0,0.82,0,0,0,0,0,0.14
