stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,12,0,0,0,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,0,0,1.13,0,0,0,1.69,1.41,0,0,0,0,0.56,0,0,0
21Day,0,2.22,0,0,0,0,0,0,0.37,0,0,1.85,1.11,0.74,0,0.37,0.37,0.37,0,0.37,0,0,0,0,0
3Month,0.1,1.46,0,0.1,0.1,0,0.83,0.1,0,1.14,0.1,0.1,0.21,0.31,0.42,0.21,0,0,0.21,0,0.1,0,0.1,0.1,0.42
22Month,0,0.41,0,0,0.27,0.14,1.09,0,0.14,0.55,0,0,0.27,0.41,0,0,0,0.14,0.41,0,0,0.14,0.14,0,0
