stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0.56,0.56,16.63,0,0,0,0,0,0,0,0,0.56,2.54,0,0.85,0,0,61.44,1.69,0,0,0,0.56,0.28,0,0.56,0,0,0,0,0
21Day,0.37,2.59,16.28,0.74,0.37,0,0,0,0.37,0.37,0,0.37,4.07,0,1.85,0.74,0,44.03,0,0,0,0,0.37,0,0.37,0.37,0,0.37,0.37,0,0.37
3Month,0,0.73,4.16,0,0,0,0.1,0,0.94,0.1,0.31,0,0.1,0.1,0.31,0,0.1,1.87,0,0.1,0.1,0,0,0.42,0.73,0,0,0,0,0.1,0.31
22Month,0,0.41,1.91,0,0,0.41,0.27,0.27,4.24,0.14,0.27,0.14,0.14,0.41,0.41,0,0.14,2.32,0,0,0,0.14,0,0.14,1.64,0,0.14,0,0,0,0
