stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,2.25,0.28,0,0,0.56,0.28,0,0,0,0
21Day,0,0,0.37,0.37,0,0.37,0,0,0,0,0,0.37,0.74,0,1.48,0.37,0.37,0,0,0,0.74,0.37,0,0,0.37,0.37,1.11,0,0,0
3Month,0.1,0.1,0,1.77,0,0,0.21,0.73,0.21,1.77,0,0,0.52,0.21,0.21,0.21,1.04,0,0.1,0.21,0,0,0.1,0,0,0.1,14.04,0.21,0.1,8.22
22Month,0,0.41,0,0.27,0,0,0,0.14,0.14,3.69,0.27,0.14,0.41,0,0,0.27,0.55,0.14,0.14,0,0,0,0,0.27,0,0,4.78,0.27,0,0
