stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,31,0,0,0,0.28,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,1.13,0.85,0,0,0,0,0.28,0,0,0
21Day,12.21,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.74,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0
3Month,0.31,0,0.21,0,0,0,0,0.31,0,0,0.21,0.21,0.21,0.21,0.31,0.1,0,0.1,0.21,0,0,0,0,0.31,0,0.1,0.1,0
22Month,0,0.68,0.55,0.14,0,0.41,0.14,5.06,0.27,0,1.09,0,0.27,0.82,0.14,0,0.14,0,0.14,0,0.14,0.27,0,0,0.14,0.41,0,0.14
