stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0,3.33,0.37,0,0.37,0.37,0.37,0,0,0,0,0,0.37,0,0,0
3Month,0,0,0.31,0.21,0.1,0.1,4.26,0,1.46,0.31,0,0.42,0.31,0.21,17.47,0.52,0,0.52,0.1,0,0.1,0,0.21,0.83,0,0,0.21,0.1,0.42
22Month,0.41,0.27,0.55,0,0,0,7.93,0.27,19.68,1.5,0.14,0.27,0.14,0,24.05,0.55,0.55,0,0,0,0,0.27,0.14,0.14,0,0,0.27,0,0
