stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0
72hpf,0,0,0.28,5.92,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0.28,1.41,0.85,0,0,0.85,0,0,0
21Day,0,0,0,4.44,1.11,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,1.48,0,0,0,0,0,0,0
3Month,0,0.1,6.24,0.62,0,0,0.1,1.04,0.73,0,0.1,0.1,0.31,0.1,0.31,0.1,0,0.21,0,0,0.1,0,0,0.1,0,0
22Month,0,0,4.1,0.27,0,0.27,0.41,23.37,0.82,0.14,0.14,0,0,0.14,0.27,0,0.14,0.14,0,0,0.14,0.14,0,0,0,0.14
