stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,1,0,0,0
72hpf,0.56,0,0.28,0,0,0,0,0,0,0.56,0,0,0,0,10.71,2.25,0.28,0.28,0,0.28,0,0,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0.37,0,0.37,0,1.85,0,0.37,8.88,1.85,0,1.11,0.74,1.48,0.37,0.37,0,0,0,0.37
3Month,0,0.31,0,0,0,0.42,0,0.31,0.1,0,0,0.31,0.42,0.1,0,0,0,0,0.1,0,0,0,0,0,0.1,0.1
22Month,0,0.14,0,0.68,0.27,4.24,0.14,0.68,0,0.14,0.27,0.55,0,0.27,0,0,0,0,0.14,0,0,0,0,0.14,0,0.41
