stage,Granulocyte,Hepatocyte,Ionocyte,Mesenchymal_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0,0,0,0.28
21Day,0,0,0,0,0.37,1.11
3Month,0,0.62,0,0,0,0
22Month,0.14,1.23,0.14,0.14,0,0
