stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0.28,0,0,0,0,8.74,1.97,0,0,0,0,0,0,0.56,0,0,0,0,0
21Day,0.74,0,0,3.33,0.37,1.48,0,0.37,0,0,0,0,0,0.37,0,2.96,0.37,3.33,0,0,0,0,13.69,2.96,0.37,0.37,0,0.37,0.37,0,0.37,1.48,8.51,0,0,0
3Month,0.1,0.1,0.52,3.12,0,0,0,0.1,0.21,0.42,0,3.54,0.62,0.1,0.73,1.14,0.31,0.83,0.42,0,0.52,0.21,0.1,0.21,0.52,0,0,0,0.21,0.73,0.31,0,0,0.21,0.42,0.73
22Month,0,0.68,0.14,1.23,0,0,0.27,0,0.27,1.78,0.68,12.16,0.68,0,1.64,0.82,1.23,1.91,0.41,0.55,0.14,0,0.14,0.14,0.27,0,0.55,0.14,0,0.27,0,0.41,0,0.14,0,0
