stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0.28
21Day,0,0.37,0.74,0,0,0.74,0,0,0,3.33,0,0,0,2.22,0,0,0,0,0,0,0.37,0,0,0,3.33
3Month,0.21,1.77,0,0.1,0.21,1.46,0,1.87,12.48,0.1,0.52,0.31,0.31,7.8,1.04,0,0.1,0.31,0.1,0.21,0.1,0.31,0,0.31,10.3
22Month,0.41,1.09,0,0,0.14,6.42,0.55,13.66,8.61,0.27,0.82,0,0.14,14.62,0.96,0.14,0,0,0,0,0.27,0.14,0.14,0,3.83
