stage,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,1,4,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,0,0,20.29,3.1,0,0.56,0,0.28,0,0.56
21Day,0,0.74,0.37,0,1.48,0.37,10.36,1.11,0.37,0,0.37,0,0.74,0.37
