stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0.85,0,0,0,0,0,0,0,0,0.56,0,0.56,0,3.1,0.56,0,0,0,0,0,0,0,0
21Day,0.37,0,1.48,0,0.37,1.11,0,0,0,0.37,0,0,0,0,0.74,0,0.74,0,0.37,0,0.37,0,0.37,0,0,0
3Month,0,0.1,3.95,0,0,19.76,0.1,0,2.5,0.1,1.56,0.21,0,0.21,0.31,0,0.42,0,0,0,0,0,0.1,0.21,0.1,0.1
22Month,0,0,1.09,0,0,3.42,0,0,2.46,0.14,0.27,0,0,0.14,0.41,0.14,0,0,0,0.14,0,0.14,0,0,0,0
