stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,3,4,13,1,0,0,0,3,0,0,0,0,11,4,15,0,0,5,76,0,0,0,1,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,3.95,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0
22Month,0.14,0.96,0.82,0,0.27,1.64,0.41,0,8.75,0.96,0.14,0.68,0.14,0.27,1.64,0.41,0.55,0,0.27,0.14,0.27,39.9,0.14,0,0.68,0.27,0.27
