stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,2,1,0,0,0,0,0,1,13,0,0,0
72hpf,0.28,0.28,0,0,0,0,0.56,3.95,1.69,0.56,0,0
21Day,0.74,0.37,1.85,0,0,0.37,1.85,1.48,1.11,0.37,0,0
3Month,0,0.31,0,0.1,0.1,0,0,0,0,0,0.1,0.1
22Month,0,0,0,0.27,0,0,0,0,0,0,0,0
