stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
72hpf,1.69,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,1.97,0,0,0,0,0,0,0,0
21Day,2.96,0,3.33,0,0,0,0,0,0,0,1.11,0.37,0,0,0,0.37,0.74,0,1.48,0,0,0,0.37,0,0.74,0,0
3Month,0.31,0.1,9.88,0,0,0,0,0.73,0.1,0.31,0.73,0.42,0.21,0.62,0.1,0,0.1,0.1,0,0,0,0,0.21,3.33,0,0.73,0.1
22Month,0,0,0.14,0,0.41,0.82,0,2.19,0,0.27,0,0,0.14,0.14,0,0,0.14,0,0,0,0.14,0.14,0,0.96,0.27,0,0
