stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,0,0.28,0.56,0.28,0,0,0,0,0,0,0.56,12.4,0,1.41,0,0,0,1.13,2.25,0,0,0,0.56,0,0,0.28,0,0,0
21Day,0.37,0,0,3.7,0,0.37,0,0,0,0,0,0,0.74,1.48,0.37,2.59,0.37,0,0,1.48,0.37,0,0.74,0,0.74,0,0.74,0.37,0,0,0.37
3Month,0,0,0.1,2.39,0.1,0,0.1,0.21,0.83,0.1,0.1,0.21,0.73,0.52,0.42,0.31,0.31,0,0.1,0.42,0,0.1,0.1,0,0,0.1,3.85,0,0.21,20.49,0.1
22Month,0,0,0,0.14,0,0,0.14,0,0.82,0,0,0.27,0,0,0,0.82,0,0.14,0,0,0,0,0,0.14,0,0,0.55,0.14,0,0,0
