stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,1.97,0,0,1.69,0,0,0.28,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0.37,0,4.44,0,0,2.59,0.74,0,1.85,0.37,0,0.37,0,0
3Month,0.1,0,0.1,0,0.21,0,1.14,0.1,0.31,0.31,0,0.31,0,0.1,0.1,0,0.21,0,0,0.31,0,0.1,0
22Month,0,0.14,0.27,0,0,0.27,5.33,0,0,0,0.41,0.68,0.14,0,0,0,0.27,0,0.27,0,0,0,0.27
