stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,26,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,1.13,0,0,0.28,0,16.07,0.28,0,0,1.41,1.13,0,0,0,0,0,0,0
21Day,0,0,0,0,1.48,0,0,1.11,0,11.47,0.74,0,0,0.74,0,0.74,0,0,0,0,0,0
3Month,0.1,0.73,0,0.1,17.79,0.94,0.52,0,0,12.9,0.62,0.31,0.1,0.1,0,0,0.21,0.52,0.1,0,0.42,0.1
22Month,0,0,0.27,0,15.71,1.91,0.27,0.55,0,5.6,0.27,0,0,0,0,0,0,0.82,0,0.14,0,0
