stage,Cardiomyocyte,Epithelial_cell__Brain_,Erythrocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
72hpf,0.56,0.28,0.28,0,0,0,0,50.17,0.85,0.28,0.28,0.56,0,0.56,0.56,0
21Day,0,0,0.37,0.37,0.37,0.74,0.37,5.18,1.11,0,0.37,0,1.11,0.74,0,0.74
