stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,1,0,0,0,0,1,0,3,0,0,1
72hpf,1.13,0,0,0,0,0,0.28,0,0.28,18.04,0.28,0.85,0,0
21Day,0,0.37,0,0,0,0,0,0,0,1.85,0,0.37,0,0
3Month,0,0,0,0,0.21,0.1,0,0.1,0,0,0,0,0.1,0
22Month,0,0,0.14,0,0.27,0,0,0,0,0.14,0,0,0.55,0
