stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Oligodendrocyte,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0.74,0,0,0,0,0,0,1.11,0,0,0,0,0
3Month,0.1,1.35,0.1,0.1,0,0,0,0.1,0.42,0.1,0,0.1,0.1,0.1
22Month,0,0.68,0,0,0.14,1.09,0.27,0.41,0.27,0,0.41,0,0,0.27
