stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.85,0,0.56,0.56,0.28,0,0,0,0,0,0,0,0.56,1.41,0,0,0,0,26.78,0.85,0,0,0.85,0,0,0.56,0,0,0,0,0
21Day,0.37,0,4.07,0.37,0,0,0,0,0.37,0,2.59,0,0.37,3.7,0,0.74,0,1.11,14.8,0.74,0,0,0.37,0.74,0,0.74,0,0.37,0.37,0,1.11
3Month,0,0,3.54,0,0,0.31,0.31,0,1.14,0.21,0,0.73,0.21,0.1,0.1,0.52,0,0.21,0.21,0,0.21,0,0,0,0.73,0.1,0,0,0,2.08,0.1
22Month,0,0.41,1.5,0,0,0,0.55,0.41,3.69,0.14,0,0.68,0,0.14,0.27,0.14,0.14,0.41,0,0,0.27,0.14,0,0,0.41,0.55,0.14,0,0,0,0.14
