stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,12,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
72hpf,7.05,0,0.28,0,0,0,0,0,0.56,0,0,0.85,0,3.66,1.13,0.56,0,0,0
21Day,8.88,1.85,0.74,0,0,0,0.37,0,0,0.37,0.37,1.48,0,1.85,0.37,0.37,0.37,0,0
3Month,0,0.1,0,0.21,0,0.21,0,0.21,0,0,0,0,0,0,0,0,0,0.21,0
22Month,0,0,0,0,0.27,1.64,0,0.14,0.14,0,0.27,0.14,0.14,0,0,0,0,0,0.14
