stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.95,0.85,1.13,0.85,2.25,0,0,0,0,0,0,0.28,0.85,3.66,0.28,5.36,0,0.28,1.69,0,358.79,9.58,0.85,3.38,5.92,0.28,0,2.54,0,0.56,0.28,0,0,0
21Day,2.96,0.37,3.7,0,4.81,1.11,0,0.37,0.37,0.37,0.74,2.59,0.37,0.74,0.74,15.91,0,0,4.44,0,165.38,4.44,1.11,2.59,1.85,3.7,0,2.22,0.37,3.33,0,0,0,0.37
3Month,0.62,0,0.83,0.21,0,0,0.1,0.1,1.04,0,0,0.52,1.98,0.21,0.1,3.95,1.04,0,0.31,0.1,2.39,0.1,2.39,0.21,0,0.1,0.83,0.21,0,0,0,0.31,0.42,0.1
22Month,0,0.14,0.82,0.14,0,0,0,0.27,2.87,0.14,0,0.55,0.68,0.14,0.14,4.24,0.41,0.14,0.14,0,5.47,0,9.84,0.41,0,0.14,3.69,0.96,0,0,0,0,0,0.27
