stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0.28,0,0,1.41,0,0.28,0,0,0,0,0
21Day,1.11,0.37,0.37,0,0,0,0.37,0.74,0,0.37,2.22,0,0,0,0,0.37,0,0.37
3Month,0.21,0,0.42,0,0,0,0.62,0.21,0.21,0.1,0.94,0,0,0.1,0,0,0.21,1.04
22Month,0,0,1.09,0.14,0,0.41,0.14,0,0.14,0,0.27,0.14,0,0,0.14,0,0,0
