stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,15,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,22,24,35,0,0,0,0,22,77,0,0,4,0,0,0,0,0,0,1,0,0,0
72hpf,2.82,0.85,0,4.23,0.28,0,0,0,0,0,0,0,0,0.56,0,0.85,19.17,1.13,7.33,0,0,0.56,0.28,6.2,3.66,0,0.56,14.37,0,0,0,0.85,0,0,0.85,0,0,0
21Day,4.81,1.48,0,24.79,0.74,0,0,0,0.37,0.37,0,0.37,0,2.22,0.74,1.85,10.36,8.14,22.57,0,0,2.22,0,5.18,1.85,0.74,4.44,8.88,0.37,0,0,0.74,0,0.37,0,0,0,0.37
3Month,0.31,3.85,0.21,28.81,0,0.83,0.21,0.21,5.51,14.15,0.1,3.95,15.6,2.18,22.68,1.56,11.23,23.3,18.62,5.62,0.1,2.39,0.62,2.08,0.1,1.14,15.71,3.43,1.04,0.1,14.98,0.1,0,0,0,4.06,16.12,5.3
22Month,0,4.78,0.27,8.61,0,0.96,0.55,0,2.46,35.39,0.82,4.51,6.01,6.01,17.49,0.14,1.91,24.32,15.44,0.27,0.27,0.68,0,0.96,0.14,1.64,13.12,2.6,0.27,0,1.09,0.27,0.14,0,0.14,0.41,0,3.55
