stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,0,0,0,3,63,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,0.56,0.85,0,0,0,0,0,0,0,0,0.28,0,0.56,0.56,0.28,1.69,0,0,0,2.82,6.2,0.28,0,0,0.28,0,0,6.2,0,0,0,0
21Day,0.37,0,0,4.07,0,1.11,0,0.74,0,0,0,0,0.37,0,0.37,0,0.74,1.48,0.37,2.22,0,0.37,0,1.85,3.33,0,0,0,0.37,0,1.48,0.37,0.37,0,0,0
3Month,0.1,0.31,0,6.45,0,0,0.1,0,0.1,0.31,0.62,0,5.51,1.46,0.31,2.5,0.52,1.66,1.35,1.14,0.21,0.1,0.62,0.62,0.21,0.42,0.1,0,0.21,0,5.51,0.1,0,0.42,16.54,0.42
22Month,0.14,0.27,0.14,1.64,0,0,0.27,0,0,0.14,1.5,1.64,10.66,0.55,0.14,1.64,0,0.14,1.09,0.96,0,0,0,0,0.14,0.27,0.27,0.14,0.14,0.14,1.09,0.14,0,0,0,0.14
