stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0.28,0,2.25,4.51,2.82,0,0,0,0,0,0,0
21Day,0.37,0,1.48,0,0.37,0,0,0,0,0,0,0.37,0.37,1.11,0,0.37,29.23,2.96,0,0,0.74,0,0.37,0.37,0.37
3Month,0,0.1,0.42,0.1,0,0,0.1,0.1,0,0.42,0.1,0,0.21,0,0,0.31,3.43,0,0,0,0,0.21,0,0,0
22Month,0,0,0,0,0,0.27,0,0,0.27,1.64,0,0,0.41,0.14,0.14,0.27,2.87,0,0,0.14,0,0.68,0,0,0
