stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,1.69,0,0
21Day,0.74,0,0,0,0,0.37,0,0
3Month,0,0,0.21,0,0.1,0,0.21,2.7
22Month,0,0.41,0.41,0.14,0.14,0,2.32,0
