stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,1.41,0,0,0,0,0,0.28,0,0.28,0,0,5.36,0.85,0,0,0.85,0,0,0.85,0.56,0,0,0,0
21Day,0.37,0,0,0.74,0,0.37,0,0,0,0,0,0,0.74,0,0,4.07,0.74,0,0,0.74,0.37,0,2.22,4.07,0,0,0,0
3Month,0,0.31,0.1,1.56,0.1,0,0.1,1.87,0.1,0.31,0.21,0,0.42,0.42,0.42,0,0,0.31,0,0,0.1,0.73,0,0,0,0.31,1.56,0.21
22Month,0,0.14,0,0.68,0,0,0.68,5.33,0.14,0.55,0,0.55,0.55,0.14,0,0,0,0.27,0.14,0,0,0.27,0.14,0,0,0,0,0
