stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0.56,0,0,1.41,1.13,0,0,0,0,0,0
21Day,0.37,0.74,0,0,0,0,0,0.37,0,0.37,0,0,0,0.37,0.37,0.37,0,0.37,0,0
3Month,0,0.42,0,0.1,1.25,0.1,0.21,0,0.21,0.1,0.1,0.1,0,0,0,0.21,5.51,0,3.95,0.21
22Month,0,0.27,0,0.14,1.23,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0
