stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0.28,0,0,0,0,0,0,0,0.85,0.56,19.73,9.02,0,0,0,0,0,0.85,0.28,1.69,0
21Day,0.74,0,5.55,0,0.74,0,0,0,0.37,0,0.37,0,0.74,4.07,18.13,7.77,0,0.37,1.11,1.11,0,0.74,0,0.74,0
3Month,0,0,0.62,0.1,0,0,0.1,0,0.31,0.1,0,0.21,0.1,0.21,0.21,0,0.42,0,0,0,0.42,0,0,0.1,0.1
22Month,0,0.14,0.55,0.14,0,0.14,0.41,0.41,3.42,0.14,0.27,0,0,0.41,0.14,0,0.41,0,0,0,0.14,0,0,0,0
