stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,4.79,0,0,0.56,0.28,3.66,0.28,0,0.28,7.05,0,0,0.28,0,0,0,0
21Day,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0.74,0,0.37,8.51,0,0,1.48,0,2.59,0.74,0,0.37,1.48,0,0,0,0.37,0,0,0.37
3Month,0,0.62,0.73,4.26,0,0.1,0.21,0.94,0,5.72,0.62,0,1.87,1.25,1.14,1.35,3.02,0.94,0,0.62,3.22,0.83,0,0.31,0,0.94,0.1,0.94,0.1,0,0.73,2.08,1.04
22Month,0,0.82,0.14,2.32,0,0,0.27,1.09,0.27,11.75,0.82,0.14,1.91,0.55,0.27,0.68,3.69,0,0.14,0.41,0.14,0,0,0.68,0,0.27,0,0.41,0.14,0.14,0,0,0.27
