stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,2.82,0,0.85,0.56,0.28,1.13,0
21Day,0,0,0,0,0,0,0,0,0.37,0,0,1.11,0.74,0,0,0
3Month,0,0.1,0.21,0.1,0,0.62,0,0.21,0,0.1,0.21,0.1,0,0,0,0.1
22Month,0,0,0.14,0,0.27,2.19,0.14,0.14,0.14,0.14,0.14,0,0,0,0,0.14
