stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,19,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,2.25,0,0,0.85,0,0.28,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,6.48,3.66,0,0,0,0.56,0,0,0,0.28,0,0,0
21Day,0.37,0.74,0,2.22,0.37,0,0.37,0,2.22,0,0,0.37,0,0,1.85,0.37,1.11,0,0,0,0,1.48,0.37,0,0.37,0,1.48,0.37,0,0,0,0,0,0.37
3Month,0,0.94,0.1,7.59,0,0.1,0,0.52,3.12,2.6,0.52,0,0.73,0,1.46,1.04,0.73,0.42,0,3.02,0.1,0.1,0,0.21,0.21,0,0,0.1,0.83,0,0,0.21,0.52,1.25
22Month,0.14,2.32,0,1.78,0,0.14,0.14,0.82,45.91,9.84,0.27,0.27,0.96,0,0.14,0.82,1.09,0.14,0.55,0.27,0,0,0,0,0.27,0.27,0,0,0.55,0.27,0,0,0,0.27
