stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0.56,0,0,0,0,0,0,0.85,0,6.48,0,0.28,14.94,2.25,0,0,4.23,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0.37,0,0,0,0,0,0,0,6.66,0,0,7.4,4.07,0,0,0.37,0.37,0,0,0.37,0,0
3Month,0,0.21,0.62,0.1,0,0.21,0.73,0.21,0.1,0.21,0,1.14,3.43,4.47,0,0,0,0.1,0.1,2.29,0.1,0.1,0.1,0,2.29,0.21
22Month,0,0,0.41,0.14,0,0,0.27,0,0,0,0.27,0.82,0.96,0.14,0,0.14,0,0,0,1.37,0,0.27,0,0,0,0
