stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0.28,0,0,0,0,0,0,0,0
21Day,1.11,0.37,2.96,4.07,1.11,0,2.22,0,0.37,3.7,0.37,9.99,0.37,8.14,3.7,0.37,0.74,0.74,1.11,0.37,1.11,1.11
3Month,0,0,0.31,0,0.1,0.1,0,0.1,0.1,0,0,0.52,0,0,0,0,0,0.1,0,0,0,0.1
22Month,0,0,0.27,0,0.14,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0
