stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast
24hpf,0,0,0,0,0,0,0,0,1,0,0,8,0,0
72hpf,0.28,0.85,0,0,0,0,0,0,0.85,0,2.54,1.13,0,0.85
21Day,0,0.74,0,0,0.37,0,0,0.37,0.74,0,2.22,0.74,0.37,0.37
3Month,0,0.1,0.1,0.21,0,0.31,0.1,0,0,0,0,0,0,0
22Month,0,0,0.14,0,0,0,0,0.14,0,0.14,0,0,0,0
