stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.56,0,0,0,0.28,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.74,0,0,0,0,0
3Month,0.21,0.1,0.62,5.93,0.21,1.14,1.66,6.97,1.98,0.1,3.74,0.21,1.56,1.56,2.7,0.21,0,0.62,0.73,0.52,0.21,0.62,0.21,0,1.66,235.08,0.21,0.1,1.25,185.15,1.04
22Month,0,0.14,0,0.14,0,0.14,0.27,0.55,0,0,0.27,0,0,0.14,0,0,0.14,0,0,0.14,0,0,0,0,0.14,27.19,0,0,0,0,0
