stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0.28,1.13,0,0.56,4.79,0,4.79,0.85,0.28,0.28,0,0,0
21Day,1.11,0,0,0,0,0,0,0.74,0,0,2.59,0,0,1.11,0,0.74,0
3Month,0.21,0,0.31,0,0.21,0,0,0.1,0,0.21,0,0,0,0,0.21,0,0.42
22Month,0,0,0.96,0.14,0.68,0,0.14,0,0,0,0,0,0,0,0,0,0
